time,Power_lower_kW,Power_upper_kW,Capacity_lower_kWh,Capacity_upper_kWh
2025-09-23 19:30:00+02:00,-3375.0,3375.0,-2520.5,604.5
2025-09-23 19:45:00+02:00,-3375.0,3375.0,-2480.75,689.75
2025-09-23 20:00:00+02:00,-3375.0,3375.0,-2441.0,775.0
2025-09-23 20:15:00+02:00,-3375.0,3375.0,-2491.5,601.0
2025-09-23 20:30:00+02:00,-3375.0,3375.0,-2542.0,427.0
2025-09-23 20:45:00+02:00,-3375.0,3375.0,-2592.5,253.0
2025-09-23 21:00:00+02:00,-3375.0,3375.0,-2643.0,79.0
2025-09-23 21:15:00+02:00,-3281.25,3281.25,-2728.0,133.0
2025-09-23 21:30:00+02:00,-3187.5,3187.5,-2813.0,187.0
2025-09-23 21:45:00+02:00,-3093.75,3093.75,-2898.0,241.0
2025-09-23 22:00:00+02:00,-3000.0,3000.0,-2983.0,295.0
2025-09-23 22:15:00+02:00,-3000.0,3000.0,-2913.5,225.5
2025-09-23 22:30:00+02:00,-3000.0,3000.0,-2844.0,156.0
2025-09-23 22:45:00+02:00,-3000.0,3000.0,-2774.5,86.5
2025-09-23 23:00:00+02:00,-3000.0,3000.0,-2705.0,17.0
2025-09-23 23:15:00+02:00,-3000.0,3000.0,-2642.75,86.5
2025-09-23 23:30:00+02:00,-3000.0,3000.0,-2580.5,156.0
2025-09-23 23:45:00+02:00,-3000.0,3000.0,-2518.25,225.5
2025-09-24 00:00:00+02:00,-3000.0,3000.0,-2456.0,295.0
2025-09-24 00:15:00+02:00,-2906.25,2906.25,-2237.0,263.5
2025-09-24 00:30:00+02:00,-2812.5,2812.5,-2018.0,232.0
2025-09-24 00:45:00+02:00,-2718.75,2718.75,-1799.0,200.5
2025-09-24 01:00:00+02:00,-2625.0,2625.0,-1580.0,169.0
2025-09-24 01:15:00+02:00,-2437.5,2437.5,-1644.25,162.5
2025-09-24 01:30:00+02:00,-2250.0,2250.0,-1708.5,156.0
2025-09-24 01:45:00+02:00,-2062.5,2062.5,-1772.75,149.5
2025-09-24 02:00:00+02:00,-1875.0,1875.0,-1837.0,143.0
2025-09-24 02:15:00+02:00,-1968.75,1968.75,-1712.75,116.75
2025-09-24 02:30:00+02:00,-2062.5,2062.5,-1588.5,90.5
2025-09-24 02:45:00+02:00,-2156.25,2156.25,-1464.25,64.24999999999999
2025-09-24 03:00:00+02:00,-2250.0,2250.0,-1340.0,38.0
2025-09-24 03:15:00+02:00,-2250.0,2250.0,-1464.5,59.25
2025-09-24 03:30:00+02:00,-2250.0,2250.0,-1589.0,80.5
2025-09-24 03:45:00+02:00,-2250.0,2250.0,-1713.5,101.75
2025-09-24 04:00:00+02:00,-2250.0,2250.0,-1838.0,123.0
2025-09-24 04:15:00+02:00,-2156.25,2156.25,-1722.75,101.5
2025-09-24 04:30:00+02:00,-2062.5,2062.5,-1607.5,80.0
2025-09-24 04:45:00+02:00,-1968.75,1968.75,-1492.25,58.5
2025-09-24 05:00:00+02:00,-1875.0,1875.0,-1377.0,37.0
2025-09-24 05:15:00+02:00,-1781.25,1781.25,-1292.75,49.25
2025-09-24 05:30:00+02:00,-1687.5,1687.5,-1208.5,61.5
2025-09-24 05:45:00+02:00,-1593.75,1593.75,-1124.25,73.75
2025-09-24 06:00:00+02:00,-1500.0,1500.0,-1040.0,86.0
2025-09-24 06:15:00+02:00,-1406.25,1406.25,-967.25,64.5
2025-09-24 06:30:00+02:00,-1312.5,1312.5,-894.5,43.0
2025-09-24 06:45:00+02:00,-1218.75,1218.75,-821.75,21.5
2025-09-24 07:00:00+02:00,-1125.0,1125.0,-749.0,0.0
2025-09-24 07:15:00+02:00,-1031.25,1031.25,-749.25,0.25
2025-09-24 07:30:00+02:00,-937.5,937.5,-749.5,0.5
2025-09-24 07:45:00+02:00,-843.75,843.75,-749.75,0.75
2025-09-24 08:00:00+02:00,-750.0,750.0,-750.0,1.0
2025-09-24 08:15:00+02:00,-750.0,750.0,-749.75,0.75
2025-09-24 08:30:00+02:00,-750.0,750.0,-749.5,0.5
2025-09-24 08:45:00+02:00,-750.0,750.0,-749.25,0.25
2025-09-24 09:00:00+02:00,-750.0,750.0,-749.0,0.0
2025-09-24 09:15:00+02:00,-843.75,843.75,-740.5,40.0
2025-09-24 09:30:00+02:00,-937.5,937.5,-732.0,80.0
2025-09-24 09:45:00+02:00,-1031.25,1031.25,-723.5,120.0
2025-09-24 10:00:00+02:00,-1125.0,1125.0,-715.0,160.0
2025-09-24 10:15:00+02:00,-1031.25,1031.25,-684.0,128.5
2025-09-24 10:30:00+02:00,-937.5,937.5,-653.0,97.0
2025-09-24 10:45:00+02:00,-843.75,843.75,-622.0,65.5
2025-09-24 11:00:00+02:00,-750.0,750.0,-591.0,34.0
2025-09-24 11:15:00+02:00,-750.0,750.0,-622.25,65.25
2025-09-24 11:30:00+02:00,-750.0,750.0,-653.5,96.5
2025-09-24 11:45:00+02:00,-750.0,750.0,-684.75,127.75
2025-09-24 12:00:00+02:00,-750.0,750.0,-716.0,159.0
2025-09-24 12:15:00+02:00,-750.0,750.0,-591.0,127.75
2025-09-24 12:30:00+02:00,-750.0,750.0,-466.0,96.5
2025-09-24 12:45:00+02:00,-750.0,750.0,-341.0,65.25
2025-09-24 13:00:00+02:00,-750.0,750.0,-216.0,34.0
2025-09-24 13:15:00+02:00,-750.0,750.0,-133.75,159.0
2025-09-24 13:30:00+02:00,-750.0,750.0,-51.5,284.0
2025-09-24 13:45:00+02:00,-750.0,750.0,30.75,409.0
2025-09-24 14:00:00+02:00,-750.0,750.0,113.0,534.0
2025-09-24 14:15:00+02:00,-937.5,937.5,-107.75,579.75
2025-09-24 14:30:00+02:00,-1125.0,1125.0,-328.5,625.5
2025-09-24 14:45:00+02:00,-1312.5,1312.5,-549.25,671.25
2025-09-24 15:00:00+02:00,-1500.0,1500.0,-770.0,717.0
2025-09-24 15:15:00+02:00,-1781.25,1781.25,-1023.0,816.25
2025-09-24 15:30:00+02:00,-2062.5,2062.5,-1276.0,915.5
2025-09-24 15:45:00+02:00,-2343.75,2343.75,-1529.0,1014.75
