DATETIME,FREQ_MEAN_HZ,FREQ_MIN_HZ,FREQ_MAX_HZ,FREQ_STD_HZ,SAMPLE_COUNT,FREQ_WORST_DEV_HZ,FREQ_DROOP_MEAN,FREQ_DROOP_ABS_MEAN
2026-01-01 20:30:00+00:00,49.9937,49.955,50.022,0.012953,900,49.955,0.017538,0.022228
2026-01-01 20:45:00+00:00,49.997592,49.972,50.02,0.008924,900,49.972,0.00348,0.00693
2026-01-01 21:00:00+00:00,49.98687,49.9,50.022,0.025416,900,49.9,0.054211,0.058655
2026-01-01 21:15:00+00:00,50.000233,49.959,50.024,0.012572,900,49.959,0.005,0.015725
2026-01-01 21:30:00+00:00,50.003567,49.976,50.025,0.009795,900,50.025,-0.003269,0.009211
2026-01-01 21:45:00+00:00,50.009024,49.958,50.046,0.020505,900,50.046,-0.027246,0.058497
2026-01-01 22:00:00+00:00,49.985272,49.95,50.04,0.016692,900,49.95,0.048743,0.052614
2026-01-01 22:15:00+00:00,50.004186,49.973,50.033,0.012438,900,50.033,-0.007444,0.018018
2026-01-01 22:30:00+00:00,50.004283,49.972,50.036,0.014816,900,50.036,-0.012988,0.026719
2026-01-01 22:45:00+00:00,50.006749,49.972,50.038,0.011188,900,50.038,-0.014351,0.018187
2026-01-01 23:00:00+00:00,49.991972,49.973,50.017,0.007252,900,49.973,0.010041,0.010462
2026-01-01 23:15:00+00:00,50.005686,49.961,50.033,0.013972,900,49.961,-0.013351,0.025105
2026-01-01 23:30:00+00:00,50.012127,49.97,50.037,0.014298,900,50.037,-0.031298,0.04117
2026-01-01 23:45:00+00:00,50.011697,49.978,50.039,0.011354,900,50.039,-0.028404,0.02976
2026-01-02 00:00:00+00:00,50.007023,49.977,50.039,0.014102,900,50.039,-0.020661,0.027117
2026-01-02 00:15:00+00:00,50.019992,49.997,50.038,0.006978,900,50.038,-0.054333,0.054333
2026-01-02 00:30:00+00:00,50.006736,49.979,50.038,0.010479,900,50.038,-0.014292,0.016117
